Year,Country,Div,TED,VIX,SENT,FEDFUNDS,GLOBAL SUPPLY CHAIN,INTERNET,GDP PER CAPITA,1992 - ERM,2009-10 - EUROZONE
2003,Belgium,30.08258152572655,0.21,21.98,-0.56,1.13,48.61,12.1399683529482,6871.23594904106,0,0
2004,Belgium,17.636993287534697,0.25,15.48,0.02,1.35,51.59,14.0327318252414,7067.2542820758,0,0
2005,Belgium,23.89602012883667,0.41,12.81,-0.02,3.21,53.71,15.6291589559443,7230.56293045898,0,0
2006,Belgium,11.421424490124254,0.47,12.81,0.11,4.96,56.35,17.411462466032,7433.81845310028,0,0
2007,Belgium,15.617876300134936,0.94,17.54,0.03,5.02,57.2,20.3581214237469,7633.01341022813,0,0
2008,Belgium,17.17452267362807,1.55,32.69,-0.21,1.93,59.25,23.0514567079442,7649.62263215115,0,0
2009,Belgium,22.34567669444003,0.54,31.48,-0.02,0.16,51,25.5958603885016,7401.23797505688,0,1
2010,Belgium,7.545695627203264,0.21,22.55,-0.12,0.18,55.88,29.0941327557255,7611.10733571686,0,1
2011,Belgium,8.565981934008537,0.28,24.2,NA,0.1,59.5,31.7488501299365,7734.90212445132,0,0
2012,Belgium,16.512603632673507,0.34,17.8,NA,0.14,59.74,35.2826985798825,7818.16630093263,0,0
1986,Botswana,NA,0.86,NA,0.44,6.81,35.67,0,5411.27027157139,0,0
1987,Botswana,NA,1.41,NA,0.06,6.66,36.14,0,5508.59818378918,0,0
1988,Botswana,NA,1.31,NA,0.06,7.57,37.06,0,5667.18881968796,0,0
1989,Botswana,NA,1.18,NA,-0.3,9.22,38.31,0,5782.29155212196,0,0
1990,Botswana,NA,0.79,23.06,-0.59,8.1,38.71,0.049581852062188,5853.99140468668,0,0
1991,Botswana,NA,0.61,18.37,-0.25,5.69,38.46,0.331622973584281,5839.98555941898,0,0
1992,Botswana,NA,0.4,15.45,0.01,3.52,39.68,0.277904981759994,5861.15144217138,1,0
1993,Botswana,NA,0.31,12.69,-0.12,3.02,38.61,0.253387458475413,5866.55447969755,0,0
1994,Botswana,NA,0.5,13.93,-0.06,4.2,40.4,0.449635166367507,5959.44882588387,0,0
1995,Botswana,NA,0.55,12.39,-0.01,5.84,42.76,0.782955692962226,6049.1334690679,0,0
1996,Botswana,NA,0.51,16.44,0.45,5.3,43.04,1.33158612802636,6159.46067792603,0,0
1997,Botswana,NA,0.68,22.36,0.2,5.46,44.8,2.03613460163745,6297.33253861861,0,0
1998,Botswana,NA,0.79,25.6,-0.04,5.35,45.13,3.12073515478569,6369.29257105243,0,0
1999,Botswana,NA,0.77,24.37,0.38,4.97,45.56,4.59500129441564,6494.78475878248,0,0
2000,Botswana,NA,0.71,23.32,1.79,6.24,49.81,6.69090733369566,6682.76344153284,0,0
2001,Botswana,NA,0.38,25.75,0.85,3.89,48.6,8.0108140021014,6717.79772703242,0,0
2002,Botswana,NA,0.19,27.29,-0.58,1.67,47.95,10.4589434184407,6771.22163904373,0,0
2003,Botswana,NA,0.21,21.98,-0.56,1.13,48.61,12.1399683529482,6871.23594904106,0,0
2004,Botswana,NA,0.25,15.48,0.02,1.35,51.59,14.0327318252414,7067.2542820758,0,0
2005,Botswana,NA,0.41,12.81,-0.02,3.21,53.71,15.6291589559443,7230.56293045898,0,0
2006,Botswana,NA,0.47,12.81,0.11,4.96,56.35,17.411462466032,7433.81845310028,0,0
2007,Botswana,NA,0.94,17.54,0.03,5.02,57.2,20.3581214237469,7633.01341022813,0,0
2008,Botswana,56.1798590177318,1.55,32.69,-0.21,1.93,59.25,23.0514567079442,7649.62263215115,0,0
2009,Botswana,62.54583347873851,0.54,31.48,-0.02,0.16,51,25.5958603885016,7401.23797505688,0,1
2010,Botswana,76.87071074036702,0.21,22.55,-0.12,0.18,55.88,29.0941327557255,7611.10733571686,0,1
2011,Botswana,61.29020590070677,0.28,24.2,NA,0.1,59.5,31.7488501299365,7734.90212445132,0,0
2012,Botswana,37.55190382577662,0.34,17.8,NA,0.14,59.74,35.2826985798825,7818.16630093263,0,0
1986,Brazil,100,0.86,NA,0.44,6.81,35.67,0,5411.27027157139,0,0
1987,Brazil,97.09723457988709,1.41,NA,0.06,6.66,36.14,0,5508.59818378918,0,0
1988,Brazil,100,1.31,NA,0.06,7.57,37.06,0,5667.18881968796,0,0
1989,Brazil,99.75247553524906,1.18,NA,-0.3,9.22,38.31,0,5782.29155212196,0,0
1990,Brazil,95.94563247926932,0.79,23.06,-0.59,8.1,38.71,0.049581852062188,5853.99140468668,0,0
1991,Brazil,95.44675488212924,0.61,18.37,-0.25,5.69,38.46,0.331622973584281,5839.98555941898,0,0
1992,Brazil,99.91846355713804,0.4,15.45,0.01,3.52,39.68,0.277904981759994,5861.15144217138,1,0
1993,Brazil,100,0.31,12.69,-0.12,3.02,38.61,0.253387458475413,5866.55447969755,0,0
1994,Brazil,96.48643511410472,0.5,13.93,-0.06,4.2,40.4,0.449635166367507,5959.44882588387,0,0
1995,Brazil,89.83994054847112,0.55,12.39,-0.01,5.84,42.76,0.782955692962226,6049.1334690679,0,0
1996,Brazil,94.01687067039431,0.51,16.44,0.45,5.3,43.04,1.33158612802636,6159.46067792603,0,0
1997,Brazil,66.15498296846154,0.68,22.36,0.2,5.46,44.8,2.03613460163745,6297.33253861861,0,0
1998,Brazil,68.89921991694592,0.79,25.6,-0.04,5.35,45.13,3.12073515478569,6369.29257105243,0,0
1999,Brazil,76.40940489880398,0.77,24.37,0.38,4.97,45.56,4.59500129441564,6494.78475878248,0,0
2000,Brazil,60.26692561537643,0.71,23.32,1.79,6.24,49.81,6.69090733369566,6682.76344153284,0,0
2001,Brazil,75.83910045677442,0.38,25.75,0.85,3.89,48.6,8.0108140021014,6717.79772703242,0,0
2002,Brazil,87.95279985541067,0.19,27.29,-0.58,1.67,47.95,10.4589434184407,6771.22163904373,0,0
2003,Brazil,78.06931968702841,0.21,21.98,-0.56,1.13,48.61,12.1399683529482,6871.23594904106,0,0
2004,Brazil,59.37548858178796,0.25,15.48,0.02,1.35,51.59,14.0327318252414,7067.2542820758,0,0
2005,Brazil,75.29237723584448,0.41,12.81,-0.02,3.21,53.71,15.6291589559443,7230.56293045898,0,0
2006,Brazil,52.6131726182928,0.47,12.81,0.11,4.96,56.35,17.411462466032,7433.81845310028,0,0
2007,Brazil,31.301841289198595,0.94,17.54,0.03,5.02,57.2,20.3581214237469,7633.01341022813,0,0
2008,Brazil,27.473870942850432,1.55,32.69,-0.21,1.93,59.25,23.0514567079442,7649.62263215115,0,0
2009,Brazil,25.363651173307012,0.54,31.48,-0.02,0.16,51,25.5958603885016,7401.23797505688,0,1
2010,Brazil,32.38726507419671,0.21,22.55,-0.12,0.18,55.88,29.0941327557255,7611.10733571686,0,1
2011,Brazil,32.51567584534426,0.28,24.2,NA,0.1,59.5,31.7488501299365,7734.90212445132,0,0
2012,Brazil,47.15906976591535,0.34,17.8,NA,0.14,59.74,35.2826985798825,7818.16630093263,0,0
1986,Bulgaria,NA,0.86,NA,0.44,6.81,35.67,0,5411.27027157139,0,0
1987,Bulgaria,NA,1.41,NA,0.06,6.66,36.14,0,5508.59818378918,0,0
1988,Bulgaria,NA,1.31,NA,0.06,7.57,37.06,0,5667.18881968796,0,0
1989,Bulgaria,NA,1.18,NA,-0.3,9.22,38.31,0,5782.29155212196,0,0
1990,Bulgaria,NA,0.79,23.06,-0.59,8.1,38.71,0.049581852062188,5853.99140468668,0,0
1991,Bulgaria,NA,0.61,18.37,-0.25,5.69,38.46,0.331622973584281,5839.98555941898,0,0
1992,Bulgaria,NA,0.4,15.45,0.01,3.52,39.68,0.277904981759994,5861.15144217138,1,0
