Country,Year,LHS_div_eq,TED,VIX,SENT,FEDFUNDS,INTERNET,ERM,Euro,US_bond_spread,Credit_to_GDP,Market_cap_to_GDP,Num_public_firms,Trade_to_GDP,Turnover_Domest_Total,Agg_Fin_Risk,Agg_Econ_Risk,Agg_Pol_Risk,Life_Exp,Internet_Usage,Equity_Liq,Dev_PC1
Malaysia,1994,100,0.5,13.93,-0.06,4.2,0.4496351664,0,0,0.73,109.2177427607,247.0844538013,475,179.9058630922,6.4898015743,42.66,31.83,73.83,71.65065854,0.099607417,0.2055288462,-1.4091925740207616
Malaysia,1995,100,0.55,12.39,-0.01,5.84,0.782955693,0,0,0.62,124.4147128627,240.9739524435,523,192.1140637923,28.1299488421,41.5,31.79,76.75,71.86312195,0.145673837,0.2785783836,-1.3344695743408406
Malaysia,1996,99.388971518100007,0.51,16.44,0.45,5.3,1.331586128,0,0,0.66,141.6342973464,303.5686885725,615,181.7676988622,8.3767307992,40.05,32.64,78.26,72.07260976,0.852044466,0.2858588841,-1.3263219844586644
Malaysia,1997,89.1611701254,0.68,22.36,0.2,5.46,2.0361346016,0,0,0.67,158.3850475807,93.2253473333,700,185.6647562945,45.6850352637,36.76,36,79.42,72.27912195,2.307393234,0.2573623319,-1.3541498036417097
Malaysia,1998,89.0550007544,0.79,25.6,-0.04,5.35,3.1207351548,0,0,0.58,158.504819163,132.4156912288,728,209.4914631907,27.785195345,33.17,33.37,73.49,72.48165854,6.751770483,0.2717068696,-1.2614353722797966
Malaysia,1999,96.7572282255,0.77,24.37,0.38,4.97,4.5950012944,0,0,1.05,149.1519892541,176.7653198832,749,217.5694726133,30.0600059082,40.05,36.17,66.82,72.67921951,12.3055022,0.270725627,-1.1308726640717268
Malaysia,2000,97.1838702558,0.71,23.32,1.79,6.24,6.6909073337,0,0,0.55,134.9998539258,120.648371357,787,220.4073501477,46.4064454855,42,42.46,67.17,72.86778049,21.38473116,0.3012457668,-0.922740500247007
Malaysia,2001,97.9543290037,0.38,25.75,0.85,3.89,8.0108140021,0,0,0.78,129.1013755782,128.2342402696,804,203.3646360107,17.6775511408,41.83,41.25,69.26,73.04331707,26.6959725,0.3929050167,-0.7418778195627393
Malaysia,2002,97.2897976924,0.19,27.29,-0.58,1.67,10.4589434184,0,0,1.32,121.8276628455,124.7239147,857,199.3564919679,20.4553954359,41.71,39.29,71.76,73.20382927,32.33820434,0.4005047741,-0.568409137177017
Malaysia,2003,96.86039662,0.21,21.98,-0.56,1.13,12.1399683529,0,0,1.18,118.9741488801,145.9262648381,897,194.1948902617,28.425356716,40.67,39.75,72.01,73.34929268,34.97115234,0.3826340996,-0.5142716775828672
